movie,scene,starttime,endtime,startsec_adj,endsec_adj,startTR,endTR,text
-1,-1,18:07,18:12,1007.127,1012.127,672,675,"The rock, the post-its, the black hole, the prisoner, the bus stop, okay."
-1,-1,18:12,18:15,1012.127,1015.127,676,677,So now to the first 25 minutes.
-1,-1,18:15,18:16,1015.127,1016.127,678,678,Let me see if I can remember those.
1,1000,18:17,18:20,1017.127,1020.127,679,680,"Alright, the first one was Catch Me If You Can."
1,1000,18:21,18:31,1021.127,1031.127,682,687,"I’ve never seen the movie, so I, I assume the game show part was part of the movie, but there was like two related segments."
1,6,18:31,18:47,1031.127,1047.127,688,698,"The first part was Catch Me If You Can game show with three contestants, who I guess are trying to compete for the part of somebody named Frank, Frank Williams Abagnale."
1,6,18:48,18:53,1048.127,1053.127,700,702,"The middle one is Leonardo DiCaprio, and I’m really bad with names, so I don’t know who the other two actors are."
1,6,18:54,18:55,1054.127,1055.127,704,704,"But they're introduced and then, "
1,7,18:56,19:11,1056.127,1071.127,705,714,"the, the voiceover says something about the background of this Frank Williams, I don’t know if it’s Williams, Frank something Abagnale character about how he impersonated a bunch of different jobs,"
1,7,19:11,19:23,1071.127,1083.127,715,722,"I think including something like a judge maybe or someone high up in court, maybe a surgeon, and something else, I don’t know, all, all pretty high positions."
1,7,19:23,19:32,1083.127,1092.127,723,728,"Anyways, the three people, who are all dressed as like navy captains or something like that, they move behind three different podiums, and they have a seat."
1,8,19:33,19:36,1093.127,1096.127,730,731,And this woman starts asking them questions.
1,8,19:36,19:44,1096.127,1104.127,732,736,"The first question she asked the first contestant is something like, “Why, why did you try to go for all those professions?”"
1,8,19:44,19:47,1104.127,1107.127,737,738,"And he’s like, “It comes down to dollars and cents."
1,8,19:47,19:51,1107.127,1111.127,739,741,"I guess those are the ways that I could make a lot of money."""
1,9,19:51,19:58,1111.127,1118.127,742,745,"And she goes to Leonardo DiCaprio’s character, and she says something about like, “How does it feel when you were finally caught?”"
1,9,19:58,20:09,1118.127,1129.127,746,753,"And then he, he mentions the name of the person who caught him, Carl, Carl Hambur, Hamley, something like that."
1,10,20:09,20:24,1129.127,1144.127,754,763,"And then it cuts away to Tom Hanks, who is this Carl something character, who is wearing like gray raincoat and has an umbrella, and he’s outside, and he's getting rained on."
1,10,20:26,20:34,1146.127,1154.127,765,769,"And he, I think, is trying to get into the prison to see this Frank character."
1,"11, 12, 13",20:34,20:43,1154.127,1163.127,770,775,"And so he’s, he’s taken in by like a policeman, and he’s shown to the cell where, where Frank is hidden away."
1,"12, 13",20:43,20:59,1163.127,1179.127,776,786,"We don’t see him at this point, but he’s shown like a little stool, and he’s told that he can sit there, that there is like this little doorway thing, which he isn’t allowed to pass anything through to the prisoner, but he can sit there and talk to him."
1,14,20:59,21:06,1179.127,1186.127,787,791,"And so the Tom Hanks character, Carl, I think, whatever, is sitting there, "
1,14,21:06,21:15,1186.127,1195.127,792,797,"and then he brings out like this book, and I think he starts reading him something about like different articles, something that is clearly, I guess, relevant to his case or how he's gonna be tried or something."
1,13,21:17,21:24,1197.127,1204.127,799,803,"And now we see Frank like holed up in his little cell, with long straggly hair, really, really sick, like coughing a lot."
1,13,21:24,21:27,1204.127,1207.127,804,805,His cough sounds really phlegmy and gross.
1,"13, 14",21:28,21:36,1208.127,1216.127,806,811,"So he’s coughing a ton, and the Tom Hanks character is sitting out front trying to read him through like these different articles."
1,13,21:37,21:45,1217.127,1225.127,812,817,"And at some point it like starts to like drizzle on him or something, so he takes out his umbrella, pulls it up, puts it on top of him and starts reading."
1,15,21:46,21:48,1226.127,1228.127,818,819,"And his cough gets really, really, really bad."
1,15,21:49,21:54,1229.127,1234.127,820,823,"And then eventually, and by his I mean Frank’s cough gets really, really bad."
1,"16, 17",21:55,22:05,1235.127,1245.127,824,830,"And then he like falls forward, and the Carl character says like, “Oh, somebody come, like we need help. We need to take him to a hospital."""
1,17,22:06,22:07,1246.127,1247.127,832,832,"""I feel like he’s really sick.”"
1,18,22:07,22:13,1247.127,1253.127,832,835,And so they pull Frank out of the little cell and take him to like the hospital ward.
1,19,22:14,22:17,1254.127,1257.127,837,838,And they're saying like they have to get him some treatment.
1,19,22:17,22:20,1257.127,1260.127,839,840,They have to get him to America or something like that.
1,19,22:21,22:27,1261.127,1267.127,842,845,"And then the Carl character is saying something about how he worked really hard to get him here, and they can't lose him."
