word,word_onsets,word_offsets,boundary,agreement
rule,278.3449999291992,278.7449999926758,1.0,0.2439024390243902
sheila,281.4049999841308,281.7150000512695,,
thought,281.7150000512695,281.9850000402832,,
drinking,281.9850000402832,282.2650000488281,,
in,282.2650000488281,282.355000045166,,
public,282.355000045166,282.8950000231933,,
was,283.2349999694824,283.40499994262694,,
in,283.40499994262694,283.50499995849606,,
poor,283.50499995849606,283.8749999633789,,
taste,283.8749999633789,284.4550000195312,,
i,286.4050000598144,286.4950000561523,,
think,286.4950000561523,286.7550000256348,,
you,286.7550000256348,286.8550000415039,,
know,286.8550000415039,287.425000078125,,
what,287.425000078125,287.6249999304199,,
happened,287.6249999304199,288.0149999743652,,
next,288.0149999743652,288.47499997558594,1.0,0.2
pie,290.1650000463867,290.474999934082,,
man,290.474999934082,290.6749999658203,,
emerged,290.6749999658203,291.2949999206543,,
from,292.03499993042,292.21499992309566,,
behind,292.21499992309566,292.4750000720215,,
the,292.4750000720215,292.5350000097656,,
late,292.5350000097656,292.8849999755859,,
night,292.8849999755859,293.1950000427246,,
library,293.1950000427246,293.64500002441406,,
drop,293.64500002441406,293.9949999902343,,
box,293.9949999902343,294.4249999328613,,
made,294.75500003906245,294.98499994995115,,
his,294.98499994995115,295.1749999621581,,
delivery,295.1749999621581,295.7550000183105,,
and,296.0049999682617,296.1150000036621,,
fled,296.1150000036621,296.3849999926758,,
away,296.3849999926758,296.75499999755857,,
crying,297.85499999267574,298.3749999316406,,
ego,298.5150000256347,298.8850000305175,,
sum,298.8850000305175,299.5849999621582,,
non,299.77499997436524,300.1249999401855,,
an,300.28500007324214,300.5049999645996,,
bestia,300.55500006225583,301.1850000366211,1.0,0.1853658536585365
or,303.6750000549316,304.24499991210934,,
at,304.24499991210934,304.4250000842285,,
least,304.4250000842285,304.6249999365234,,
thats,304.6249999365234,304.8450000073242,,
what,304.8450000073242,304.96500006225585,,
it,304.96500006225585,305.0350000195312,,
said,305.0350000195312,305.2749999499511,,
in,305.2749999499511,305.364999946289,,
my,305.364999946289,305.5349999194336,,
story,305.5349999194336,305.875000045166,,
in,305.875000045166,305.94500000244136,,
the,305.94500000244136,306.0049999401855,,
newspaper,306.0049999401855,306.495,,
the,306.495,306.58499999633784,,
next,306.58499999633784,306.83499994628903,,
day,306.83499994628903,307.114999954834,1.0,0.2097560975609756
which,308.2450000085449,308.54500005615233,,
